"","AAPL","MSFT","GOOGL","NKE","KO","TSLA","JNJ","V","GS","NFLX","AMT"
"164",40.048107,86.354065,51.856998,63.426907,37.371151,17.742001,112.998688,115.957771,228.228455,295.350006,131.995575
"165",40.191319,85.370087,50.497501,64.486572,37.792782,19.953333,112.954613,114.096558,226.515762,288.850006,129.107574
"166",41.707024,88.066582,51.801998,64.200188,38.300476,20.022667,115.176666,117.053169,231.907486,311.649994,126.811104
"167",39.556396,89.883148,53.866001,63.092777,37.637897,19.349333,111.684853,120.397514,228.319031,327.769989,124.729553
"168",38.744835,90.658981,51.572498,66.405418,37.267887,19.605333,113.104515,122.15213,217.299988,311.76001,123.469658
"169",43.879154,90.034546,52.549999,65.011642,36.450417,19.606001,109.506897,124.23632,212.896011,320.089996,126.765465
"170",45.188911,92.437721,55.168999,65.326675,36.261108,20.070667,112.196297,127.784233,220.127258,326.459991,126.774605
"171",44.642593,91.565079,53.481998,68.085602,36.295536,18.454666,109.55098,126.154503,214.762726,324.179993,125.122147
"172",45.18652,93.465553,54.203999,68.973427,36.484848,18.59,107.902863,127.465263,212.959427,351.290009,124.46479
"173",45.965267,96.61084,57.652,70.678642,37.422771,19.782667,108.329239,129.203278,209.056519,361.809998,127.870171
"174",45.821503,96.021675,57.044998,71.406212,37.973488,22.139999,108.959946,130.018906,212.8759,361.450012,127.486702
"175",45.224857,95.841164,59.179001,72.38266,37.808147,24.722,107.769615,132.24234,210.420563,390.399994,126.904694
"176",43.650589,93.494072,56.964001,69.26181,37.834198,22.200666,108.897758,127.125473,201.463196,384.480011,130.503479
"177",44.851055,95.033455,57.105499,75.005722,37.981792,22.337999,108.00058,128.649857,203.027328,398.179993,132.817017
"178",45.610641,97.03846,58.356998,74.259018,39.040939,21.497999,113.152756,132.718109,206.291977,415.630005,131.779556
"179",45.874214,100.677856,60.653999,74.163292,39.284023,21.512667,114.689529,135.582382,210.084106,379.480011,130.521866
"180",46.245617,102.302795,62.907501,72.306076,39.292702,19.828667,114.911621,135.960999,214.503662,357.320007,129.971008
"181",45.596252,100.801399,61.361,73.62719,40.482075,19.875999,117.718674,132.766632,215.913208,337.450012,136.094528
"182",49.626587,103.462074,62.792,77.092659,40.369213,25.304667,116.777069,136.203766,216.276947,351.829987,137.737854
"183",50.435429,104.108223,62.907001,76.719315,39.839642,23.176001,115.03598,136.669846,208.756409,337.48999,136.893234
"184",51.707424,101.093941,60.870499,79.40937,40.126125,21.459999,120.23259,136.175125,217.022629,338.019989,137.049316
"185",52.827957,105.17659,62.292999,79.055168,39.388195,20.790667,120.112785,141.192688,220.405518,368.48999,137.802155
"186",54.55201,103.488205,59.955002,76.697144,39.396877,18.716,121.489899,138.732559,216.746811,341.179993,135.506958
"187",53.157372,106.559753,58.580002,79.652954,40.14349,19.369333,124.619705,142.524933,208.161255,369.950012,135.240738
"188",52.508137,106.550217,58.713501,81.025284,40.239796,19.934668,125.603378,143.35144,214.940323,366.959991,135.488617
